Total rows: 2626
1: 寵物名稱 | 編號
2: 初期擁有的烏力烏力 | 1
3: 初期擁有的凱比 | 2
4: 初期擁有的克克爾 | 3
5: 初期擁有的威伯 | 4
6: 烏力 | 9
7: 烏力烏力 | 10
8: 烏力斯坦 | 11
9: 烏力布魯 | 12
10: 布比 | 13
11: 金布伊 | 14
12: 布伊 | 15
13: 布伊比 | 16
14: 卡布伊 | 17
15: 加美 | 21
16: 加比 | 25
17: 加比奧 | 26
18: 加斯 | 27
19: 烏寶寶 | 28
20: 威威 | 29
21: 烏卡魯 | 30
22: 威伯 | 31
23: 貝洛恩 | 32
24: 貝洛洛克 | 33
25: 貝洛寶克爾 | 34
26: 貝洛寶利 | 35
27: 龜之盾 | 36
28: 綠龜 | 37
29: 卡梅蘭恩 | 38
30: 石龜 | 39
31: 阿哥亞 | 42
32: 尼可斯 | 43
33: 特洛昆 | 44
34: 達克爾 | 45
35: 拉奇魯哥 | 46
36: 呼拔拔 | 47
37: 多薩金格 | 48
38: 魯尼帖斯 | 49
39: 卡達魯卡斯 | 50
40: 柯伊達 | 51
