道具名稱 | 說明 | 編號
謝謝參與 | 感謝支持再接再厲 | 0
貝諾美斯Lv1斧頭 | 攻 +7 防 -2 敏 -2           猛毒的精靈 Lv1 | 1
威金尼爾Lv1斧頭 | 攻 +7 防 -2 敏 -2           硬化的精靈 Lv1 | 2
迪所斯Lv1斧頭 | 攻 +7 防 -2 敏 -2           混亂的精靈 Lv1 | 3
萊伊卡Lv1斧頭 | 攻 +7 防 -2 敏 -2           酒的精靈 Lv1 | 4
特洛西Lv1斧頭 | 攻 +7 防 -2 敏 -2           睡眠的精靈 Lv1 | 5
特洛西Lv1斧頭 | 攻 +7 防 -2 敏 -2           睡眠的精靈 Lv1 | 6
特洛西Lv1斧頭 | 攻 +7 防 -2 敏 -2           睡眠的精靈 Lv1 | 7
特洛西Lv1斧頭 | 攻 +7 防 -2 敏 -2           睡眠的精靈 Lv1 | 8
特洛西Lv1斧頭 | 攻 +7 防 -2 敏 -2           睡眠的精靈 Lv1 | 9
普通普通的斧頭 | 攻 +14 防 -5 敏 -5 | 10
貝洛薩Lv1斧頭 | 攻 +12 防 -4 敏 -4          毒霧的精靈 Lv1 | 11
威金娜斯Lv1斧頭 | 攻 +12 防 -4 敏 -4          石化的精靈 Lv1 | 12
貝所金Lv1斧頭 | 攻 +12 防 -4 敏 -4          混迷的精靈 Lv1 | 13
萊伊薩Lv1斧頭 | 攻 +12 防 -4 敏 -4          酩酊的精靈 Lv1 | 14
特洛金Lv1斧頭 | 攻 +12 防 -4 敏 -4          昏睡的精靈 Lv1 | 15
特洛金Lv1斧頭 | 攻 +12 防 -4 敏 -4          昏睡的精靈 Lv1 | 16
特洛金Lv1斧頭 | 攻 +12 防 -4 敏 -4          昏睡的精靈 Lv1 | 17
特洛金Lv1斧頭 | 攻 +12 防 -4 敏 -4          昏睡的精靈 Lv1 | 18
特洛金Lv1斧頭 | 攻 +12 防 -4 敏 -4          昏睡的精靈 Lv1 | 19
輕的斧頭 | 攻 +19 防 -7 敏 -6 | 20
貝諾美斯Lv2斧頭 | 攻 +18 防 -6 敏 -6          猛毒的精靈 Lv2 | 21
威金尼爾Lv2斧頭 | 攻 +18 防 -6 敏 -6          硬化的精靈 Lv2 | 22
迪所斯Lv2斧頭 | 攻 +18 防 -6 敏 -6          混亂的精靈Lv2 | 23
萊伊卡Lv2斧頭 | 攻 +18 防 -6 敏 -6          酒的精靈 Lv2 | 24
特洛西Lv2斧頭 | 攻 +18 防 -6 敏 -6          睡眠的精靈 Lv2 | 25
特洛西Lv2斧頭 | 攻 +18 防 -6 敏 -6          睡眠的精靈 Lv2 | 26
特洛西Lv2斧頭 | 攻 +18 防 -6 敏 -6          睡眠的精靈 Lv2 | 27
特洛西Lv2斧頭 | 攻 +18 防 -6 敏 -6          睡眠的精靈 Lv2 | 28
特洛西Lv2斧頭 | 攻 +18 防 -6 敏 -6          睡眠的精靈 Lv2 | 29
