Total rows: 15979
1: 道具名稱 | 說明 | 編號
2: 謝謝參與 | 感謝支持再接再厲 | 0
3: 貝諾美斯Lv1斧頭 | 攻 +7 防 -2 敏 -2           猛毒的精靈 Lv1 | 1
4: 威金尼爾Lv1斧頭 | 攻 +7 防 -2 敏 -2           硬化的精靈 Lv1 | 2
5: 迪所斯Lv1斧頭 | 攻 +7 防 -2 敏 -2           混亂的精靈 Lv1 | 3
6: 萊伊卡Lv1斧頭 | 攻 +7 防 -2 敏 -2           酒的精靈 Lv1 | 4
7: 特洛西Lv1斧頭 | 攻 +7 防 -2 敏 -2           睡眠的精靈 Lv1 | 5
8: 特洛西Lv1斧頭 | 攻 +7 防 -2 敏 -2           睡眠的精靈 Lv1 | 6
9: 特洛西Lv1斧頭 | 攻 +7 防 -2 敏 -2           睡眠的精靈 Lv1 | 7
10: 特洛西Lv1斧頭 | 攻 +7 防 -2 敏 -2           睡眠的精靈 Lv1 | 8
11: 特洛西Lv1斧頭 | 攻 +7 防 -2 敏 -2           睡眠的精靈 Lv1 | 9
12: 普通普通的斧頭 | 攻 +14 防 -5 敏 -5 | 10
13: 貝洛薩Lv1斧頭 | 攻 +12 防 -4 敏 -4          毒霧的精靈 Lv1 | 11
14: 威金娜斯Lv1斧頭 | 攻 +12 防 -4 敏 -4          石化的精靈 Lv1 | 12
15: 貝所金Lv1斧頭 | 攻 +12 防 -4 敏 -4          混迷的精靈 Lv1 | 13
16: 萊伊薩Lv1斧頭 | 攻 +12 防 -4 敏 -4          酩酊的精靈 Lv1 | 14
17: 特洛金Lv1斧頭 | 攻 +12 防 -4 敏 -4          昏睡的精靈 Lv1 | 15
18: 特洛金Lv1斧頭 | 攻 +12 防 -4 敏 -4          昏睡的精靈 Lv1 | 16
19: 特洛金Lv1斧頭 | 攻 +12 防 -4 敏 -4          昏睡的精靈 Lv1 | 17
20: 特洛金Lv1斧頭 | 攻 +12 防 -4 敏 -4          昏睡的精靈 Lv1 | 18
21: 特洛金Lv1斧頭 | 攻 +12 防 -4 敏 -4          昏睡的精靈 Lv1 | 19
22: 輕的斧頭 | 攻 +19 防 -7 敏 -6 | 20
23: 貝諾美斯Lv2斧頭 | 攻 +18 防 -6 敏 -6          猛毒的精靈 Lv2 | 21
24: 威金尼爾Lv2斧頭 | 攻 +18 防 -6 敏 -6          硬化的精靈 Lv2 | 22
25: 迪所斯Lv2斧頭 | 攻 +18 防 -6 敏 -6          混亂的精靈Lv2 | 23
26: 萊伊卡Lv2斧頭 | 攻 +18 防 -6 敏 -6          酒的精靈 Lv2 | 24
27: 特洛西Lv2斧頭 | 攻 +18 防 -6 敏 -6          睡眠的精靈 Lv2 | 25
28: 特洛西Lv2斧頭 | 攻 +18 防 -6 敏 -6          睡眠的精靈 Lv2 | 26
29: 特洛西Lv2斧頭 | 攻 +18 防 -6 敏 -6          睡眠的精靈 Lv2 | 27
30: 特洛西Lv2斧頭 | 攻 +18 防 -6 敏 -6          睡眠的精靈 Lv2 | 28
31: 特洛西Lv2斧頭 | 攻 +18 防 -6 敏 -6          睡眠的精靈 Lv2 | 29
32: 重的斧頭 | 攻 +27 防 -9 敏 -10 | 30
33: 貝洛薩Lv2斧頭 | 攻 +24 防 -8 敏 -8          毒霧的精靈 Lv2 | 31
34: 威金娜斯Lv2斧頭 | 攻 +24 防 -8 敏 -8          石化的精靈 Lv2 | 32
35: 貝所金Lv2斧頭 | 攻 +24 防 -8 敏 -8          混迷的精靈 Lv2 | 33
36: 萊伊薩Lv2斧頭 | 攻 +24 防 -8 敏 -8          酩酊的精靈Lv2 | 34
37: 特洛金Lv2斧頭 | 攻 +24 防 -8 敏 -8          昏睡的精靈 Lv2 | 35
38: 特洛金Lv2斧頭 | 攻 +24 防 -8 敏 -8          昏睡的精靈 Lv2 | 36
39: 特洛金Lv2斧頭 | 攻 +24 防 -8 敏 -8          昏睡的精靈 Lv2 | 37
40: 特洛金Lv2斧頭 | 攻 +24 防 -8 敏 -8          昏睡的精靈 Lv2 | 38
41: 特洛金Lv2斧頭 | 攻 +24 防 -8 敏 -8          昏睡的精靈 Lv2 | 39
42: 大的斧頭 | 攻 +32 防 -11 敏 -11 | 40
43: 貝諾美斯Lv3斧頭 | 攻 +30 防 -10 敏 -10        猛毒的精靈 Lv3 | 41
44: 威金尼爾Lv3斧頭 | 攻 +30 防 -10 敏 -10        硬化的精靈 Lv3 | 42
45: 迪所斯Lv3斧頭 | 攻 +30 防 -10 敏 -10        混亂的精靈 Lv3 | 43
46: 萊伊卡Lv3斧頭 | 攻 +30 防 -10 敏 -10        酒的精靈 Lv3 | 44
47: 特洛西Lv3斧頭 | 攻 +30 防 -10 敏 -10        睡眠的精靈 Lv3 | 45
48: 特洛西Lv3斧頭 | 攻 +30 防 -10 敏 -10        睡眠的精靈 Lv3 | 46
49: 特洛西Lv3斧頭 | 攻 +30 防 -10 敏 -10        睡眠的精靈 Lv3 | 47
50: 特洛西Lv3斧頭 | 攻 +30 防 -10 敏 -10        睡眠的精靈 Lv3 | 48
51: 特洛西Lv3斧頭 | 攻 +30 防 -10 敏 -10        睡眠的精靈 Lv3 | 49
52: 硬的斧頭 | 攻 +37 防 -12 敏 -12 | 50
53: 貝洛薩Lv3斧頭 | 攻 +35 防 -12 敏 -12        毒霧的精靈 Lv3 | 51
54: 威金娜斯Lv3斧頭 | 攻 +35 防 -12 敏 -12        石化的精靈 Lv3 | 52
55: 貝所金Lv3斧頭 | 攻 +35 防 -12 敏 -12        混迷的精靈 Lv3 | 53
56: 萊伊薩Lv3斧頭 | 攻 +35 防 -12 敏 -12        酩酊的精靈 Lv3 | 54
57: 特洛金Lv3斧頭 | 攻 +35 防 -12 敏 -12        昏睡的精靈 Lv3 | 55
58: 特洛金Lv3斧頭 | 攻 +35 防 -12 敏 -12        昏睡的精靈 Lv3 | 56
59: 特洛金Lv3斧頭 | 攻 +35 防 -12 敏 -12        昏睡的精靈 Lv3 | 57
60: 特洛金Lv3斧頭 | 攻 +35 防 -12 敏 -12        昏睡的精靈 Lv3 | 58
61: 特洛金Lv3斧頭 | 攻 +35 防 -12 敏 -12        昏睡的精靈 Lv3 | 59
62: 強的斧頭 | 攻 +43 防 -14 敏 -14 | 60
63: 貝諾美斯Lv4斧頭 | 攻 +41 防 -13 敏 -13        猛毒的精靈 Lv4 | 61
64: 威金尼爾Lv4斧頭 | 攻 +41 防 -13 敏 -13        硬化的精靈 Lv4 | 62
65: 迪所斯Lv4斧頭 | 攻 +41 防 -13 敏 -13        混亂的精靈 Lv4 | 63
66: 萊伊卡Lv4斧頭 | 攻 +41 防 -13 敏 -13        酒的精靈 Lv4 | 64
67: 特洛西Lv4斧頭 | 攻 +41 防 -13 敏 -13        睡眠的精靈 Lv4 | 65
68: 特洛西Lv4斧頭 | 攻 +41 防 -13 敏 -13        睡眠的精靈 Lv4 | 66
69: 特洛西Lv4斧頭 | 攻 +41 防 -13 敏 -13        睡眠的精靈 Lv4 | 67
70: 特洛西Lv4斧頭 | 攻 +41 防 -13 敏 -13        睡眠的精靈 Lv4 | 68
71: 特洛西Lv4斧頭 | 攻 +41 防 -13 敏 -13        睡眠的精靈 Lv4 | 69
72: 厲害的斧頭 | 攻 +49 防 -16 敏 -16 | 70
73: 貝洛薩Lv4斧頭 | 攻 +47 防 -15 敏 -15        毒霧的精靈 Lv4 | 71
74: 威金娜斯Lv4斧頭 | 攻 +47 防 -15 敏 -15        石化的精靈 Lv4 | 72
75: 貝所金Lv4斧頭 | 攻 +47 防 -15 敏 -15        混迷的精靈 Lv4 | 73
76: 萊伊薩Lv4斧頭 | 攻 +47 防 -15 敏 -15        酩酊的精靈 Lv4 | 74
77: 特洛金Lv4斧頭 | 攻 +47 防 -15 敏 -15        昏睡的精靈 Lv4 | 75
78: 特洛金Lv4斧頭 | 攻 +47 防 -15 敏 -15        昏睡的精靈 Lv4 | 76
79: 特洛金Lv4斧頭 | 攻 +47 防 -15 敏 -15        昏睡的精靈 Lv4 | 77
80: 特洛金Lv4斧頭 | 攻 +47 防 -15 敏 -15        昏睡的精靈 Lv4 | 78
81: 特洛金Lv4斧頭 | 攻 +47 防 -15 敏 -15        昏睡的精靈 Lv4 | 79
82: 加加的斧頭 | 攻 +54 防 -18 敏 -18 | 80
83: 貝諾美斯Lv5斧頭 | 攻 +52 防 -17 敏 -17        猛毒的精靈 Lv5 | 81
84: 威金尼爾Lv5斧頭 | 攻 +52 防 -17 敏 -17        硬化的精靈 Lv5 | 82
85: 迪所斯Lv5斧頭 | 攻 +52 防 -17 敏 -17        混亂的精靈 Lv5 | 83
86: 萊伊卡Lv5斧頭 | 攻 +52 防 -17 敏 -17        酒的精靈 Lv5 | 84
87: 特洛西Lv5斧頭 | 攻 +52 防 -17 敏 -17        睡眠的精靈 Lv5 | 85
