Total rows: 15979
row1: 道具名稱 | 說明 | 編號
row5000: 合成石 3 [地] | 攻+8? 防-2? [地]            混亂的精靈 Lv2 | 7269
row5001: 合成石 3 [地] | 攻+8? 防-2? [地]            酒的精靈 Lv2 | 7270
row5002: 合成石 3 [地] | 攻+8? 防-2? [地]            睡眠的精靈 Lv2 | 7271
row5003: 合成石 3 [水] | 攻+9? 防-2? [水] | 7272
row5004: 合成石 3 [水] | 攻+8? 防-2? [水]            猛毒的精靈 Lv2 | 7273
row5005: 合成石 3 [水] | 攻+8? 防-2? [水]            硬化精靈 Lv2 | 7274
row5006: 合成石 3 [水] | 攻+8? 防-2? [水]            混亂的精靈 Lv2 | 7275
row5007: 合成石 3 [水] | 攻+8? 防-2? [水]            酒的精靈 Lv2 | 7276
row5008: 合成石 3 [水] | 攻+8? 防-2? [水]            睡眠的精靈 Lv2 | 7277
row5009: 合成石 3 [火] | 攻+9? 防-2? [火] | 7278
row5010: 合成石 3 [火] | 攻+8? 防-2? [火]            猛毒的精靈 Lv2 | 7279
row9000: 合成槍 17 [火] | 攻+84？敏-17？魅+9？ [火] | 14799
row9001: 合成槍 17 [火] | 攻+78？敏-17？魅+9？ [火]   猛毒的精靈 Lv5 | 14800
row9002: 合成槍 17 [火] | 攻+78？敏-17？魅+9？ [火]   硬化的精靈 Lv5 | 14801
row9003: 合成槍 17 [火] | 攻+78？敏-17？魅+9？ [火]   混亂的精靈 Lv5 | 14802
row9004: 合成槍 17 [火] | 攻+78？敏-17？魅+9？ [火]   酒的精靈 Lv5 | 14803
row9005: 合成槍 17 [火] | 攻+78？敏-17？魅+9？ [火]   睡眠的精靈 Lv5 | 14804
row9006: 合成槍 17 [風] | 攻+84？敏-17？魅+9？ [風] | 14805
row9007: 合成槍 17 [風] | 攻+78？敏-17？魅+9？ [風]   猛毒的精靈 Lv5 | 14806
row9008: 合成槍 17 [風 | 攻+78？敏-17？魅+9？ [風]   硬化的精靈 Lv5 | 14807
row9009: 合成槍 17 [風] | 攻+78？敏-17？魅+9？ [風]   混亂的精靈 Lv5 | 14808
row9010: 合成槍 17 [風] | 攻+78？敏-17？魅+9？ [風]   酒的精靈 Lv5 | 14809
row12000: 合成服 16 [風] | 防+39? [風]                 滋潤的精靈 Lv5 | 17799
row12001: 合成服 16 [風] | 防+39? [風]                 恩惠的精靈 Lv5 | 17800
row12002: 合成服 17 | 防+42? | 17801
row12003: 合成服 17 | 防+39?                      治癒的精靈 Lv3 | 17802
row12004: 合成服 17 | 防+39?                      滋潤的精靈 Lv3 | 17803
row12005: 合成服 17 | 防+39?                      恩惠的精靈 Lv3 | 17804
row12006: 合成服 17 | 防+40?                      治癒的精靈 Lv4 | 17805
row12007: 合成服 17 | 防+40?                      滋潤的精靈 Lv4 | 17806
row12008: 合成服 17 | 防+40?                      恩惠的精靈 Lv4 | 17807
row12009: 合成服 17 | 防+45-49?                      治癒的精靈 Lv5 | 17808
row12010: 合成服 17 | 防+45-49?                      滋潤的精靈 Lv5 | 17809
